photo_path,ocr,category,time_ocr
img_ocr/ocr/2024-12-14/B706FRV_Keluar_2024-12-14_002737.jpg,B706FRV,Keluar,2024-12-14 00:27:37
img_ocr/ocr/2024-12-14/F9412FG_Keluar_2024-12-14_003843.jpg,F9412FG,Keluar,2024-12-14 00:38:43
img_ocr/ocr/2024-12-14/B9188OH_Keluar_2024-12-14_004141.jpg,B9188OH,Keluar,2024-12-14 00:41:41
img_ocr/ocr/2024-12-14/B9257TEU_Keluar_2024-12-14_010413.jpg,B9257TEU,Keluar,2024-12-14 01:04:13
img_ocr/ocr/2024-12-14/B9264UY_Keluar_2024-12-14_021041.jpg,B9264UY,Keluar,2024-12-14 02:10:41
img_ocr/ocr/2024-12-14/F9744FE_Keluar_2024-12-14_030927.jpg,F9744FE,Keluar,2024-12-14 03:09:27
img_ocr/ocr/2024-12-14/B9885JH_Keluar_2024-12-14_031451.jpg,B9885JH,Keluar,2024-12-14 03:14:51
img_ocr/ocr/2024-12-14/A8942RC_Masuk_2024-12-14_031519.jpg,A8942RC,Masuk,2024-12-14 03:15:19
img_ocr/ocr/2024-12-14/B9241UYT_Keluar_2024-12-14_032853.jpg,B9241UYT,Keluar,2024-12-14 03:28:53
img_ocr/ocr/2024-12-14/B128W_Keluar_2024-12-14_032936.jpg,B128W,Keluar,2024-12-14 03:29:36
img_ocr/ocr/2024-12-14/B9879TEV_Masuk_2024-12-14_044621.jpg,B9879TEV,Masuk,2024-12-14 04:46:21
img_ocr/ocr/2024-12-14/B9701KCE_Keluar_2024-12-14_044810.jpg,B9701KCE,Keluar,2024-12-14 04:48:10
img_ocr/ocr/2024-12-14/B918OFG_Keluar_2024-12-14_044919.jpg,B918OFG,Keluar,2024-12-14 04:49:19
img_ocr/ocr/2024-12-14/B8322AMD_Masuk_2024-12-14_111055.jpg,B8322AMD,Masuk,2024-12-14 11:10:55
