photo_path,ocr,category,time_ocr
img_ocr/ocr/2024-09-28/B9635KCA_Keluar_2024-09-28_072708.jpg,B9635KCA,Keluar,2024-09-28 07:27:08
img_ocr/ocr/2024-09-28/A9661EX_Masuk_2024-09-28_073119.jpg,A9661EX,Masuk,2024-09-28 07:31:19
img_ocr/ocr/2024-09-28/B9815YG_Masuk_2024-09-28_074326.jpg,B9815YG,Masuk,2024-09-28 07:43:26
img_ocr/ocr/2024-09-28/B9815YG_Keluar_2024-09-28_075405.jpg,B9815YG,Keluar,2024-09-28 07:54:05
img_ocr/ocr/2024-09-28/B9636KCA_Keluar_2024-09-28_075606.jpg,B9636KCA,Keluar,2024-09-28 07:56:06
img_ocr/ocr/2024-09-28/F9415FG_Keluar_2024-09-28_080825.jpg,F9415FG,Keluar,2024-09-28 08:08:25
img_ocr/ocr/2024-09-28/B9297TEW_Masuk_2024-09-28_081828.jpg,B9297TEW,Masuk,2024-09-28 08:18:28
img_ocr/ocr/2024-09-28/B9489KDC_Keluar_2024-09-28_081946.jpg,B9489KDC,Keluar,2024-09-28 08:19:46
