photo_path,ocr,category,time_ocr
img_ocr/ocr/2024-09-19/Z9273MG_Masuk_2024-09-19_091758.jpg,Z9273MG,Masuk,2024-09-19 09:17:58
img_ocr/ocr/2024-09-19/81931TYP_Masuk_2024-09-19_091829.jpg,81931TYP,Masuk,2024-09-19 09:18:29
img_ocr/ocr/2024-09-19/B1730KFH_Masuk_2024-09-19_091913.jpg,B1730KFH,Masuk,2024-09-19 09:19:13
img_ocr/ocr/2024-09-19/B1730OKFH_Keluar_2024-09-19_091930.jpg,B1730OKFH,Keluar,2024-09-19 09:19:30
img_ocr/ocr/2024-09-19/81730OKFH_Keluar_2024-09-19_092048.jpg,81730OKFH,Keluar,2024-09-19 09:20:48
img_ocr/ocr/2024-09-19/B1730KFH_Masuk_2024-09-19_092145.jpg,B1730KFH,Masuk,2024-09-19 09:21:45
img_ocr/ocr/2024-09-19/B1730KFH_Keluar_2024-09-19_092234.jpg,B1730KFH,Keluar,2024-09-19 09:22:34
img_ocr/ocr/2024-09-19/B1931TYP_Masuk_2024-09-19_092310.jpg,B1931TYP,Masuk,2024-09-19 09:23:10
img_ocr/ocr/2024-09-19/B1931TYP_Keluar_2024-09-19_092329.jpg,B1931TYP,Keluar,2024-09-19 09:23:29
img_ocr/ocr/2024-09-19/B1931TYP_Masuk_2024-09-19_092456.jpg,B1931TYP,Masuk,2024-09-19 09:24:56
img_ocr/ocr/2024-09-19/B1931TYP_Keluar_2024-09-19_092535.jpg,B1931TYP,Keluar,2024-09-19 09:25:35
img_ocr/ocr/2024-09-19/B1931TYP_Masuk_2024-09-19_092550.jpg,B1931TYP,Masuk,2024-09-19 09:25:50
img_ocr/ocr/2024-09-19/B1931TYP_Keluar_2024-09-19_092618.jpeg,B1931TYP,Keluar,2024-09-19 09:26:18
img_ocr/ocr/2024-09-19/B1931TYP_Masuk_2024-09-19_092638.jpeg,B1931TYP,Masuk,2024-09-19 09:26:38
img_ocr/ocr/2024-09-19/B1931TYP_Keluar_2024-09-19_093005.jpg,B1931TYP,Keluar,2024-09-19 09:30:05
img_ocr/ocr/2024-09-19/B1931TYP_Masuk_2024-09-19_093022.jpg,B1931TYP,Masuk,2024-09-19 09:30:22
img_ocr/ocr/2024-09-19/B1931TYP_Keluar_2024-09-19_093748.jpg,B1931TYP,Keluar,2024-09-19 09:37:48
img_ocr/ocr/2024-09-19/B1931TYP_Masuk_2024-09-19_093902.jpg,B1931TYP,Masuk,2024-09-19 09:39:02
