photo_path,ocr,category,time_ocr
img_ocr/ocr/2024-09-27/Z9273MG_Masuk_2024-09-27_143941.jpg,Z9273MG,Masuk,2024-09-27 14:39:41
img_ocr/ocr/2024-09-27/Z9273MG_Keluar_2024-09-27_144221.jpg,Z9273MG,Keluar,2024-09-27 14:42:21
img_ocr/ocr/2024-09-27/B1931TYP_Masuk_2024-09-27_144235.jpeg,B1931TYP,Masuk,2024-09-27 14:42:35
img_ocr/ocr/2024-09-27/B1931TYP_Keluar_2024-09-27_144249.jpeg,B1931TYP,Keluar,2024-09-27 14:42:49
img_ocr/ocr/2024-09-27/B1730KFH_Masuk_2024-09-27_144314.jpeg,B1730KFH,Masuk,2024-09-27 14:43:14
img_ocr/ocr/2024-09-27/B1931TYP_Masuk_2024-09-27_144830.jpeg,B1931TYP,Masuk,2024-09-27 14:48:30
