photo_path,ocr,category,time_ocr
img_ocr/ocr/2024-09-12/B1931TYP_Masuk_2024-09-12_144611.None,B1931TYP,Masuk,2024-09-12 14:46:11
img_ocr/ocr/2024-09-12/B1931TYP_Masuk_2024-09-12_144722.None,B1931TYP,Masuk,2024-09-12 14:47:22
img_ocr/ocr/2024-09-12/B9602KCA_Masuk_2024-09-12_144821.None,B9602KCA,Masuk,2024-09-12 14:48:21
img_ocr/ocr/2024-09-12/B9602KCA_Masuk_2024-09-12_145001..jpg,B9602KCA,Masuk,2024-09-12 14:50:01
img_ocr/ocr/2024-09-12/B9602KCA_Keluar_2024-09-12_145118.jpg,B9602KCA,Keluar,2024-09-12 14:51:18
img_ocr/ocr/2024-09-12/B9602KCA_Masuk_2024-09-12_145549.jpg,B9602KCA,Masuk,2024-09-12 14:55:49
img_ocr/ocr/2024-09-12/Z9273MG_Masuk_2024-09-12_150507.jpg,Z9273MG,Masuk,2024-09-12 15:05:07
img_ocr/ocr/2024-09-12/Z9273MG_Keluar_2024-09-12_150539.jpg,Z9273MG,Keluar,2024-09-12 15:05:39
img_ocr/ocr/2024-09-12/B1730KFH_Masuk_2024-09-12_150736.jpeg,B1730KFH,Masuk,2024-09-12 15:07:36
img_ocr/ocr/2024-09-12/B1730KFH_Keluar_2024-09-12_150940.jpeg,B1730KFH,Keluar,2024-09-12 15:09:40
img_ocr/ocr/2024-09-12/B1931TYP_Masuk_2024-09-12_150958.jpeg,B1931TYP,Masuk,2024-09-12 15:09:58
img_ocr/ocr/2024-09-12/B1931TYP_Keluar_2024-09-12_151010.jpeg,B1931TYP,Keluar,2024-09-12 15:10:10
img_ocr/ocr/2024-09-12/B1931TYP_Masuk_2024-09-12_151020.jpeg,B1931TYP,Masuk,2024-09-12 15:10:20
