photo_path,ocr,category,time_ocr
img_ocr/ocr/2024-12-08/BO9081KYW_Keluar_2024-12-08_001457.jpg,BO9081KYW,Keluar,2024-12-08 00:14:57
img_ocr/ocr/2024-12-08/DB146YA_Keluar_2024-12-08_005427.jpg,DB146YA,Keluar,2024-12-08 00:54:27
img_ocr/ocr/2024-12-08/B9131SEU_Keluar_2024-12-08_011851.jpg,B9131SEU,Keluar,2024-12-08 01:18:51
img_ocr/ocr/2024-12-08/B9180FG_Keluar_2024-12-08_015308.jpg,B9180FG,Keluar,2024-12-08 01:53:08
img_ocr/ocr/2024-12-08/B9811TEW_Masuk_2024-12-08_231833.jpg,B9811TEW,Masuk,2024-12-08 23:18:33
